Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	P1	P2	Time	SD_P1_Michelina	SD_P2_Michelina	SD_Notes_Michelina
34:18.0	34:21.8	yeah so pause filler yours is Charlie Sprenkel			QE		
34:22.1	34:24.4		yeah and it's not spelled to how you would think it is				
34:24.7	34:26.1		Charlie spelled normal				
34:26.1	34:31.1		but then the last name is S-P-R-E-N-K-E-L				
34:32.0	34:32.5	oh					
34:33.2	34:35.7		yeah it's very strange				
34:35.7	34:37.1		it's a very strange name				
34:37.4	34:40.4	are you able to change your profile picture or no					
34:41.1	34:43.7		pause filler I did change my profile picture				
34:44.2	34:45.1	what is it					
34:45.1	34:46.6		pause filler it's about a Google				
34:46.6	34:56.2		someone did like pause filler an animated drawing of a Titan from a show and stuff like that				
34:56.9	34:59.3		and I don't feel like putting my picture up anywhere				
34:59.7	35:00.5	oh yeah					
35:03.0	35:04.0		all sweet this time				
35:09.4	35:12.1	well we weren't doing anything					
35:15.2	35:15.8	all right					
35:24.1	35:26.8	I think I exited out the other one					
35:28.5	35:28.6	yeah					
35:38.3	35:39.1	all right					
35:39.3	35:39.7		got it				
35:43.4	35:46.6	yeah because I was closing something up there					
35:46.7	35:50.2	and I accidentally closed pause filler that one so pause filler					
35:51.9	35:53.6	yeah that's really cool					
35:53.6	35:55.5	all right so I'm going to get everything					
36:04.3	36:05.2	I'm good (laughter)					
36:06.8	36:07.4	thank you					
36:07.9	36:08.4	see you later					
36:08.8	56:26.7			T2 			
36:08.9	36:09.4		all right				
36:10.0	36:14.7	all right let's get this done and over with					
36:14.7	36:18.8	all right pause filler you have to teach me how to use this problem because I have no idea what I'm doing			SD		
36:19.2	36:25.7		okay so you have the x here				
36:26.2	36:29.7		the idea is you want to leave that x alone and don't touch it				
36:30.8	36:34.4		you want to actually add three to this three so				
36:36.2	36:41.2	what if I heard this before					
36:41.9	36:43.9		so yeah you pause filler add three				
36:44.3	36:47.3		and that gets you zero				
36:48.1	36:52.2		and yeah so then you know what to do from here right				
36:52.6	36:54.8	pause filler maybe I'll check later					
36:55.6	36:58.9		all right yeah so show me what you know				
36:58.9	37:02.3	all right so pause filler basically what I get twenty-five					
37:02.3	37:03.1	and then I'm done					
37:04.4	37:05.8		yeah twenty-five equals x				
37:05.8	37:06.9		. that is good				
37:06.9	37:09.8		I'm going to put a checkmark yay				
37:09.9	37:11.8	all right we did it					
37:11.8	37:13.6	oh what page					
37:13.8	37:20.0		okay so see if you do another one like this again				
37:20.0	37:24.8	all right but this one we haven't done before					
37:25.5	37:26.6	do you know how to do this one					
37:27.0	37:27.3		yeah				
37:27.6	37:29.2	all right so tell me					
37:30.0	37:33.8	oh I went into full screen					
37:33.8	37:35.8	(laughter) all right I'm good now					
37:37.1	37:37.5		all right				
37:40.8	37:42.3		so wait				
37:45.7	37:47.0		okay yeah all right				
37:47.2	37:52.8		let's go				
37:53.2	37:55.4		you're going to go				
37:55.4	37:57.1	we didn't do this one yet					
37:57.1	37:58.2	so you have to touch me how to do it					
37:58.2	37:59.5		all right all right				
37:59.8	38:01.4	I know how to do it but (inaudible)			SD		
38:01.4	38:03.4		okay so				
38:03.4	38:04.4	we have to do it					
38:04.4	38:05.0	I'm sorry					
38:05.9	38:08.5		so for this you want the y to be positive				
38:08.5	38:12.6		so you're actually going to add a y to the y okay				
38:12.7	38:14.3		I'll (inaudible) for a second				
38:15.4	38:20.8		and here you're also going to subtract the eighteen				
38:20.8	38:23.2		so you can do that				
38:24.2	38:34.9		so whenever you have like one positive number without positive or negative the idea is to get you want to add the opposite of that				
38:35.1	38:39.0		so you actually want to subtract eighteen from the eighteen				
38:39.3	38:40.6		and get zero				
38:40.6	38:44.9		but then you'd also going to subtract that eighteen from the twenty-three				
38:46.7	38:53.2	actually I think what you do pause filler is that you'd subtract the twenty-three					
38:53.2	38:54.3	not the eighteen					
38:55.8	38:57.6	because you want to get y on this side					
38:59.0	38:59.4	right					
39:00.6	39:00.9		yeah				
39:01.2	39:02.7	oh all right yeah					
39:02.7	39:04.5	and then you do that					
39:04.5	39:06.9	and then you did twenty-three					
39:07.3	39:09.1	and then you'd minus twenty-three					
39:09.2	39:10.3	ops that's a two					
39:10.3	39:11.8	all right and then op					
39:14.3	39:18.4	then this is what my homework looks like so (laughter)					
39:18.5	39:20.8		so you do that				
39:21.0	39:23.8	yeah pause filler and then you get negative five					
39:23.9	39:25.6	and then you get y					
39:26.4	39:28.2	and then that's what it equals					
39:28.4	39:30.5		all right yeah that's good				
39:31.6	39:32.2		go with				
39:32.4	39:33.0	I mean					
39:33.0	39:34.4	oh my god					
39:34.4	39:35.5	what is that a v					
39:36.0	39:37.5		it's supposed to be a checkmark				
39:37.5	39:40.9		it's not like the pencil where mine just keep drawing out				
39:41.0	39:41.4		here we go				
39:41.4	39:42.1	oh there you go					
39:42.3	39:43.0	there you got it					
39:43.2	39:46.7		to complete checkmark thing all right				
39:49.7	39:50.3		oh wow				
39:50.3	39:52.4		okay let's see with this one now				
39:54.4	40:03.2		so here it's going to be confusing because now you have two variables and two numbers pause filler on different sides				
40:03.7	40:08.6		so one of the first things you actually want to do is you want to add k to both sides				
40:09.3	40:14.3		so yeah each k is going to receive a k				
40:15.4	40:19.9		and the positive k is going to become two k you know				
40:19.9	40:25.6	ah yeah like has a y2k robot is taking over right yeah					
40:26.0	40:28.1		yeah yeah stuff like that				
40:28.1	40:28.5	yeah					
40:29.4	40:31.3		and so you can go ahead				
40:31.3	40:32.1		and can do that				
40:34.0	40:35.9	oh what not a two					
40:35.9	40:39.7	I don't want a two					
40:41.3	40:44.1		pause filler hitting undo in this thing is so hard				
40:44.9	40:46.2	pause filler it's easy for me					
40:46.2	40:47.3	you just got to get used to it					
40:48.0	40:48.4		yeah				
40:49.1	40:50.7	pause filler and then you get two k					
40:52.1	40:54.6	well that was like I've been drawing like perfect ks					
40:54.6	40:55.4	I'm on a streak					
40:56.1	40:59.5	so then what I do is minus thirty-six					
40:59.8	41:00.7		that's right				
41:01.8	41:03.4	minus thirty-six					
41:07.0	41:14.5	and then that would be negative fifty equals two k and then two k					
41:15.7	41:18.4	but not the k I don't want that so					
41:18.4	41:19.9	and then you divide that by two					
41:20.4	41:22.8	but then two divided by fifty					
41:26.0	41:28.6	pause filler two four pause filler					
41:29.9	41:33.9		twenty-five				
41:35.0	41:37.8	oh yeah I forgot					
41:38.0	41:38.8	twenty-five					
41:38.8	41:43.4	and then k equals twenty-five					
41:45.3	41:49.2		yeah yeah that's correct				
41:49.2	41:51.9		all right so we got this page down				
41:53.6	41:54.2		all right				
41:55.1	41:55.8		oh my gosh				
41:55.8	41:58.1		this is really hard to do				
41:59.7	42:00.1		okay				
42:00.1	42:04.3	all right this is basically like the same thing before it's like I flipped it around					
42:04.8	42:16.5		yeah so let's see if you can do this without my instruction				
42:16.5	42:24.8	all right let's do it					
42:25.8	42:29.7	(sfx) there one					
42:29.7	42:32.5		yeah there we go				
42:32.5	42:34.9		so yeah b equals two				
42:35.1	42:35.8		that's good				
42:37.2	42:39.7		I'm going to fix that real quickly				
42:40.2	42:41.1		yeah there we go				
42:41.5	42:42.3		there we go				
42:42.3	42:43.5	yeah together yeah					
42:44.0	42:44.7	all right five					
42:45.5	42:52.8	all right nine wait hold on it's like the (inaudible) could just like skip the page if he doesn't want to do it					
42:52.8	42:55.5	that's sweet anyway all right					
42:55.9	42:57.0		that's is cool				
42:57.2	42:59.0	all right so all right					
42:59.3	43:02.8		you know how to do this one right or do you not				
43:02.8	43:03.9	I know how to do it					
43:03.9	43:06.1	but you need to like teach me because this one is new					
43:06.1	43:12.7		all right so here you have negative nine g equals eighty-one				
43:13.0	43:19.9		so for you I would pause filler yeah you want to separate the negative nine and the g				
43:20.5	43:27.1		so what you're going to do is actually you're going to add nine to you should				
43:27.1	43:27.2	what					
43:27.5	43:29.1		you're going to add nine to each of these				
43:29.9	43:31.4		no you can add nine to the negative nine				
43:31.8	43:35.3		and then divide a positive nine by the eighty-one				
43:35.7	43:36.5	all right					
43:37.8	43:40.8	that sounds pretty pause filler cool					
43:49.5	43:50.1	and then					
43:55.6	43:58.0	I'm done					
43:58.5	43:59.7		all right that's good				
43:59.7	44:04.9		and here we go				
44:04.9	44:14.1		it looks sort of like a checkmark				
44:14.1	44:14.3	yeah					
44:14.3	44:15.1		all right				
44:18.7	44:20.1		so we've already done this right				
44:20.1	44:20.8		let me see				
44:25.4	44:27.3		yeah we've done something sort of like it				
44:27.3	44:30.6		but it's still a little bit different				
44:31.3	44:36.2		so here you have the tenth				
44:36.2	44:38.3		and you actually want to get right of that ten				
44:38.3	44:40.3		so we should go				
44:40.3	44:42.8		and take away ten from the ten				
44:43.3	44:46.6		but also from the eighty-two				
44:49.0	44:51.5		so you can get started on that				
44:51.6	44:52.7	all right					
44:54.3	44:58.0	so minus that's not a minus					
45:01.0	45:04.3	minus ten minus ten pause filler					
45:07.0	45:07.0		yeah				
45:08.3	45:17.6	oh no it's wrong					
45:17.6	45:18.1		not yet				
45:20.2	45:29.3	and then eight eight y equals seven oh					
45:30.4	45:30.8		wow				
45:35.8	45:38.0	y equals seven					
45:40.2	45:40.9		there we go				
45:46.6	45:47.6		okay I don't				
45:47.8	45:49.3	no I'm just kidding					
45:49.7	45:50.6		I have no idea (laughter)				
45:52.8	45:56.6	yeah that's fixed					
45:58.4	45:58.9		yeah yeah				
45:58.9	46:00.0	that was actually really good					
46:00.0	46:03.6	all right no page seven all right					
46:04.2	46:05.6		oh we went up two pages				
46:05.6	46:06.6		I didn't notice that				
46:08.3	46:12.5		so this one is sort of the same				
46:13.0	46:14.9		pause filler yeah				
46:14.9	46:17.1	yeah but except this is a fourteen x					
46:17.1	46:18.9	how do I multiply that (laughter)					
46:19.8	46:20.3		so (inaudible)				
46:20.8	46:21.7	twenty-five					
46:23.9	46:26.0		yeah let's see				
46:26.0	46:28.3		this is so this is a positive sixty-five				
46:28.3	46:29.6		you're going to get rid of a sixty-five				
46:30.3	46:34.5		and also take away sixty-five from the one hundred seven				
46:36.1	46:37.9		I need to figure out what that is now				
46:39.7	46:40.5		that would be				
46:44.5	46:44.8		oh well				
46:48.3	46:51.7		so sixty plus forty is a hundred okay okay				
46:51.7	46:53.4	remember you shouldn't be doing this for me					
46:54.0	46:59.1		right I also want to get the answer like before you do				
46:59.1	47:01.8		so I make sure you get the right answer				
47:01.9	47:02.2	yeah					
47:06.7	47:08.2		this microphone is creeping me out			SD	
47:08.9	47:11.3		it's like staring at me like a giant eye				
47:11.3	47:13.7	I know it like has just like it's a ball					
47:14.4	47:14.8		yeah				
47:15.2	47:15.6	look at this					
47:16.5	47:17.6		and they call it blue				
47:17.6	47:18.7		but it's white				
47:18.7	47:22.7	no mine is called a snowball					
47:22.8	47:23.9		mine is called blue (laughter)				
47:24.6	47:26.3	oh well					
47:27.3	47:30.4		all right so				
47:33.2	47:38.1		technically you're just going to secretly get rid of that				
47:38.1	47:39.4		that never showed up				
47:41.7	47:44.9		and so you have the fourteen x right now				
47:44.9	47:45.9		it's stationary				
47:46.2	47:47.7		this does nothing for now				
47:49.0	47:50.9		and you're also going to get rid of that				
47:50.9	47:52.2		so you can go ahead				
47:52.2	47:54.1		and get that first part down				
47:54.9	47:55.4	all right pause filler					
47:56.4	48:10.6	I am like dead tired			SD		
48:10.6	48:12.9	and I have piano practice after this			SD		
48:13.0	48:15.1		I have to go work at the zoo after this			SD	
48:15.6	48:17.2		and that's five hours long				
48:18.5	48:19.3	really					
48:19.6	48:20.7	oh my god					
48:20.7	48:28.1		yeah so and usually it's just me walking the entire thing multiple times for no reason			SD	
48:28.3	48:29.2	that's fun					
48:29.7	48:30.4	no fair					
48:31.2	48:32.0	no fair					
48:32.6	48:36.0		yeah it's but I don't get paid			SD	
48:37.1	48:38.0	you don't get paid					
48:38.1	48:38.4		no				
48:38.4	48:40.0	oh so it's just volunteer work					
48:40.3	48:40.8		sort of				
48:40.8	48:41.7		it's like an intern				
48:41.9	48:44.2		next year in high school I will get paid				
48:45.0	48:45.4	ah					
48:47.7	48:48.7	fourteen					
48:50.9	48:52.7		does fourteen in the fourteen				
48:52.9	48:54.8		no fourteen go in the four two				
48:56.0	48:57.1	no					
48:59.0	49:02.9	so we're going to have to make a really really hard number					
49:03.3	49:05.9	no I'm just kidding all right					
49:05.9	49:09.7	so pause filler so basically x equals					
49:13.1	49:15.6	pause filler forty-two over fourteen					
49:15.6	49:17.9	that's negative all right					
49:19.9	49:22.6		actually you can still simplify this				
49:23.5	49:24.0	really					
49:24.4	49:28.6		yeah so fourteen times two is twenty-eight				
49:29.1	49:30.9		and add another fourteen				
49:30.9	49:36.7		and you get forty-two				
49:37.3	49:40.8	oh pause filler so wouldn't be that					
49:41.8	49:44.7		well that answer is correct				
49:44.7	49:47.5		but to fully simplify you would have pause filler				
49:47.5	49:47.6		three				
49:47.6	49:48.1		right				
49:48.7	49:52.6		or is it negative				
49:52.6	49:55.8	it would be negative because					
49:56.6	49:57.4		yeah that's right				
49:57.5	49:59.0		negative plus negative is a positive				
50:01.7	50:06.5		so yeah that's either way would be correct				
50:08.1	50:09.1	yeah so					
50:16.4	50:16.8	oh my god					
50:17.0	50:20.3	all right never mind I'm just kidding					
50:23.2	50:24.2	I'm sorry Sam you know					
50:24.2	50:26.7	all right let's go yeah					
50:27.6	50:27.8		okay				
50:28.3	50:33.4		all right so it's basically like the same thing as before except that I need to add				
50:34.5	50:34.8		yeah				
50:37.1	50:37.9	forty-one					
50:38.7	50:39.4	forty-one					
50:42.9	50:44.3	all right					
50:47.3	50:50.1	I'm actually thinking of writing a rant on my channel soon			SD		
50:51.4	50:51.8		really				
50:52.3	50:55.6	yeah because I love the rant about stuff			SD		
50:56.5	50:57.3	it's really neat					
50:58.1	51:00.4		yeah ranting just about anything is fun				
51:00.8	51:09.9		oh yeah and the best part is I can like speak like forever without stopping		SD		
51:00.8	51:21.4						utterances in wrong tier 
51:10.1	51:16.9		and my mom will go like Jordan can you like shut up please				
51:17.2	51:21.4		and I'm like mom I'm trying to rant about I don't know				
51:23.9	51:24.4		okay				
51:24.7	51:29.2	why the earth has to be round all right so					
51:29.7	51:31.6		wait so wait what is this right there				
51:32.6	51:32.9	what					
51:33.3	51:33.6		that				
51:34.2	51:35.0	that's a nine					
51:35.2	51:40.4		okay to me that looks like how I draw my As so				
51:40.4	51:44.8	as I said my handwriting is really really bad so					
51:45.2	51:47.6		mine is terrible you have no idea				
51:48.1	51:50.5		this is me trying very hard to keep it neat				
51:51.3	51:52.0	really					
51:52.0	51:52.3		yeah				
51:54.7	51:58.5	this is me trying to keep it this is like the normal way I write (laughter)					
51:59.7	52:03.5		well everybody has their styles of writing				
52:03.7	52:07.2	yeah and teachers don't get that I don't know why					
52:07.3	52:07.9		I know oh				
52:08.1	52:13.5	this isn't going to be the way I want it					
52:13.5	52:16.3	so twenty-five equals nine negative					
52:17.6	52:18.2		there we go				
52:19.9	52:20.9		correct again				
52:22.6	52:24.9		all right well this looks new				
52:25.6	52:26.1	yeah					
52:26.1	52:30.7		I'm going to have to review this in a few seconds all right				
52:31.8	52:40.9		so before you would just have like you could have like negative p minus it to eight minus p				
52:41.2	52:45.2		but now you actually have you do have ps				
52:45.3	52:47.5		but now one of the p is was an eight				
52:48.2	52:57.5		so what you're going to do to this number here and the p here is each of those will receive their very own p				
52:58.3	53:03.6		so that's right yeah okay				
53:04.2	53:06.9	wait the sixteen gets on the variable					
53:08.5	53:10.3		wait is this (inaudible)				
53:15.2	53:17.4		yeah or this might actually be a typo				
53:17.4	53:19.1		let's see				
53:19.1	53:23.2	no there's no way the sixteen could get a p of a variable					
53:23.2	53:24.1	that's impossible					
53:29.3	53:33.6		oh okay they did it in a way where I could not understand it				
53:34.7	53:38.1		the eight p receives so it becomes nine p				
53:39.4	53:42.5	yeah like these college students are weird					
53:42.5	53:51.8		yeah because they're saying like add five y plus six to the six which we actually really mean to the five y				
53:53.5	53:58.2		so I don't really understand why they're explaining it like that because it makes no sense				
54:05.3	54:06.3	good god					
54:13.3	54:19.7	I get thirty-six pause filler					
54:19.7	54:23.2	and then the p would equal four because I said so					
54:23.2	54:24.1	all right let's go					
54:25.2	54:25.5		yup				
54:34.1	54:34.6		there we go				
54:36.0	54:41.1		so yeah this is kind of like the same thing				
54:41.3	54:45.0		but yet now you need to subtract them right				
54:45.8	54:45.9	oh					
54:45.9	54:52.0		no you're going to add w to both sides again				
54:52.7	54:55.1		so let's see				
54:55.3	54:56.0		let's see this				
55:04.7	55:14.3	pause filler forty w oh my god					
55:15.8	55:18.9		the people who are in charge of this looked so bored				
55:21.1	55:22.5	wait they're here					
55:22.5	55:24.8		no they are in the room next to me				
55:26.2	55:27.6	oh that's creepy oh					
55:27.7	55:29.4		I know				
55:29.7	55:31.3		that's so creepy				
55:32.5	55:36.0	oh my dad just walked by					
55:36.0	55:37.8	and he was like hey Jordan what's up					
55:37.8	55:42.3	and I'm like I'm doing like this stuff with this kid I don't even know					
55:43.5	55:46.0		oh wait my best friend's dad works here				
55:47.1	55:47.5	really					
55:47.7	55:49.6		yeah that's really creepy now				
55:50.4	55:50.8	yeah he					
55:50.8	55:54.6		(inaudible) stopping him				
55:55.0	55:55.9	negative					
55:58.4	55:59.5	one sixty					
56:00.7	56:02.9	and then I divide that I hope					
56:02.9	56:04.6	and then forty					
56:06.0	56:10.6	and then w would equal four because I said so					
56:10.6	56:11.3	now that's good					
56:11.5	56:12.2		wait hang on				
56:15.9	56:16.7		yup that's correct				
56:17.9	56:19.5		now let us go to page eleven				
56:19.5	56:20.8	if we finish this					
56:22.0	56:23.7	oh come on					
56:23.7	56:24.4	let's go get them					
56:24.5	56:26.6	we have to go					
56:26.8	56:27.9		oh pause filler we finished it				
56:29.4	56:30.1		yeah				
56:31.5	56:31.8		yeah				
56:48.9	56:49.7		see you Jordan				
56:52.5	56:54.5	so that was like an hour					
56:55.4	56:56.6	all right					
56:56.7	56:59.2	so pause filler what do I do for the next thirty minutes					
57:05.1	57:06.1	ten minutes all right					
57:06.1	57:06.8		sweet				
57:21.0	57:21.4	all right pause filler					
57:21.4	57:22.0	hey one more thing pause filler					
57:22.0	57:22.3	do you have a Skype					
57:22.3	57:23.2		no I don't have a Skype				
57:23.5	57:25.4	oh oh well then you just have to look up my You					
