Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	P2	P1	Time	SD_P1_Michelina	SD_P2_Michelina	SD_Notes_Michelina
32:37.5	32:39.0	because I'm pretty sure you're in that room					
32:39.1	32:39.9	I could be wrong					
32:40.7	32:41.6		(laughter) I'll scream				
32:41.6	32:45.8	I'm pretty sure we just hear each other (inaudible)					
32:45.8	32:46.0		yeah				
32:46.0	32:48.1	I have headphone					
32:48.6	32:51.9		I don't really know				
32:55.4	32:56.6	okay we could ask questions					
32:57.0	32:59.3	like whenever there's a new year it appears					
32:59.3	33:03.5	we would have these like me like each other					
33:03.5	33:08.5	and they ask questions that you usually wouldn't ask in real life but					
33:08.6	33:08.7		oh god				
33:08.7	33:13.8	and people like okay now I can't even think of the questions				SD	
33:13.8	33:20.3	but they're just commonly questions like what's your favorite subject or what are your hobbies but					
33:20.3	33:20.6		oh yeah				
33:21.9	33:25.9	and it's not like people walk up to you					
33:26.2	33:27.7	what it's your term paper					
33:27.7	33:29.6	it's a cool subject (laughter)					
33:29.6	33:33.2		I really don't know why people think that				
33:33.2	33:36.1		like it's cool to say like how's your school				
33:36.1	33:39.5		and I'm like I sat here bored as always what's				
33:40.1	33:40.3	yeah					
33:40.4	33:42.9		this is like we're expected to be				
33:43.2	33:45.6		people don't just stop by pause filler (laughter)				
33:45.6	33:51.6	well yeah I'm like pretty constant					
33:51.6	33:52.7	so then you ask					
33:53.1	33:55.1	and they ask is there anything new in school					
33:55.1	34:01.2	and you're like no probably never will be until I hit like the hard stuff					
34:01.4	34:03.9	like high school that would be new					
34:03.9	34:05.8		yeah that would be fun				
34:05.8	34:09.5	yeah kind of new					
34:09.5	34:12.9		so bad my grades this year I'm going to (inaudible)		SD		with how bad my grades are this year i'm not gonna do good
34:12.9	34:17.9		I have a C in math others are all As		SD		
34:19.1	34:21.6	I'm about teach you so it will be okay					
34:21.6	34:26.8		it's really because I got a really bad grade in the first quarter		SD		
34:26.8	34:31.1		and then you're just trying to work that up				
34:31.1	34:31.4		I've got an 80%		SD		
34:39.4	34:42.6	I don't want to like whither					
34:55.8	34:57.2	just telling her on what to do					
35:05.1	35:13.2	okay should I pause filler like should I tell her like what to do and have her like solve it or					
35:13.4	35:14.5	I'm not really sure					
35:26.5	35:26.5	yeah					
35:26.9	35:27.4	okay					
35:31.4	54:02.8			T2			
35:31.8	35:32.1	okay					
35:32.2	35:32.8		(laughter) your own (inaudible)				
35:33.1	35:40.2	yeah okay so pause filler what you always want to make sure is that the variable is on one side					
35:40.2	35:42.2	because it just makes it easier					
35:42.3	35:46.4	and I always split it down the middle on the equals sign like that					
35:46.4	35:48.2	I don't know why					
35:48.3	35:52.4	it just makes it easier to like know what to do to one side (inaudible)					
35:52.4	35:58.5	and so what would your first guess be when you want to do this					
35:59.5	36:01.7	because they said not to give you the answers					
36:01.8	36:03.4	so I don't want to just do it					
36:03.6	36:08.1		I'm just working on my head that's all				
36:09.3	36:09.4	okay					
36:10.0	36:10.2		(inaudible) so				
36:11.9	36:12.1	yeah					
36:14.2	36:16.6		oh (inaudible) what is going on				
36:17.4	36:19.0		I'm not touching the board				
36:19.1	36:21.2		why is it typing				
36:21.2	36:24.1	yeah it might do that if you're hovering over it					
36:24.4	36:24.8	I'm not sure					
36:24.8	36:26.1		oh if you press these buttons I get it				
36:26.3	36:27.8	okay wait a minute I'm sorry					
36:27.8	36:29.5	I undoed everything					
36:29.5	36:33.2		it's fine I don't know it anyway				
36:34.4	36:36.7		I don't know if you cork this button				
36:36.7	36:37.5	so basically					
36:37.5	36:38.0		ah I could not				
36:38.4	36:40.6	I'm pretty sure you have the right idea					
36:40.6	36:44.0	because I could kind of hear you working it out					
36:44.0	36:49.5		my pen is writing				
36:49.5	36:53.9		oh hit the button people used to (inaudible) again				
36:54.8	36:54.8	yeah					
36:54.8	36:59.5		well at least not				
37:00.1	37:01.5	pause filler it's not working for me either					
37:01.5	37:04.9		I don't understand				
37:04.9	37:08.0	oh well you know what I think it's something					
37:08.0	37:09.1	(inaudible)					
37:09.1	37:11.3	just ignore it yeah					
37:11.5	37:14.8		and cross goodbye I don't want you				
37:14.8	37:18.4		so minus three plus three equals zero (laughter)				
37:18.4	37:25.6		twenty-five plus three equals twenty-five twenty-five plus three half				
37:25.6	37:30.0		so now what so that would be x equals no no				
37:30.0	37:34.2	how about you add it out like step by step					
37:34.3	37:35.5	that might help					
37:36.0	37:37.1	it's what I always do					
37:38.8	37:48.9	so the goal is to try to cancel out pause filler all of the like coefficient yeah the coefficient which is					
37:50.1	37:54.1	basically you want to cancel out all the constants on this side					
37:54.3	37:58.7	and then yeah that's basically what you want to do					
37:58.7	38:02.3		so minus three would have to disappear				
38:02.3	38:04.3		so minus three plus three equals zero				
38:04.7	38:06.9		twenty-five plus three equals twenty-five				
38:07.1	38:09.4		twenty-five why did you say twenty-five plus twenty-five well no				
38:09.6	38:10.7	no twenty-two (laughter)					
38:10.7	38:12.2		eight equals twenty-five				
38:12.2	38:12.7		that's all right now				
38:12.8	38:17.1	okay so you're saying x equals what					
38:17.8	38:18.7		twenty-five yeah because				
38:19.4	38:21.0	twenty-five let me put that					
38:21.1	38:24.6		then you can add twenty-five plus minus three which would be yeah				
38:25.0	38:27.9	yeah wait one second (inaudible) out of my head					
38:27.9	38:30.0		oh what did I do				
38:30.0	38:31.2	do you want me oh					
38:31.2	38:32.4	I'm trying to write it					
38:32.4	38:33.6	but it's not working					
38:34.7	38:40.5		(inaudible) press the button oh my god				
38:41.4	38:45.0		that is the worst thing I've ever done				
38:45.0	38:48.5		and that (inaudible) up with my handwriting twenty-five				
38:48.5	38:49.9	there you can tell it's okay					
38:49.9	38:54.4		yay no next one I suppose				
38:56.2	39:02.4	okay so same thing go down the middle					
39:03.2	39:04.5	try to get					
39:04.7	39:14.2	cancel out all the pause filler numbers or I guess anything that's not a variable on this side					
39:14.2	39:16.9	wait you call those constants right yeah constants					
39:16.9	39:17.8		I think so				
39:18.8	39:20.2	yeah constants and variables					
39:23.6	39:31.1		so we'd have to get rid of eighteen				
39:31.6	39:32.7		eighteen's got to go				
39:33.1	39:37.9	yeah so the opposite operation so eighteen is being added which means you were					
39:37.9	39:40.4		so eighteen minus eighteen equals zero				
39:40.8	39:45.4		twenty-five minus eighteen equals five				
39:46.0	39:47.5	okay so					
39:50.1	39:51.8		so yeah it would be five				
39:51.8	39:54.1		plus twenty-three minus eighteen equals five				
39:54.8	40:00.7	so five and I certain times like draw it on the line like that					
40:00.7	40:02.8	I don't know why I do that					
40:03.3	40:05.5	it's like so then to the two sides too					
40:05.5	40:13.2		okay so eighteen minus eight eighteen or (laughter) I can't talk				
40:14.0	40:15.2	so you said five					
40:15.2	40:17.6	I guess I don't know what a negative y would be					
40:17.6	40:19.2	I guess it just be negative y					
40:19.3	40:22.4	like I don't know if you have to do anything like that					
40:22.4	40:28.1	I guess it's done					
40:30.1	40:30.3		so (inaudible)				
40:30.4	40:32.3	are you on page three					
40:32.7	40:33.4		yup				
40:33.4	40:37.0	I'm confused okay let me see					
40:38.1	40:41.9	wait a minute okay it's not as bad as I think					
40:41.9	40:47.9	there's just a lot of negatives so oh okay					
40:47.9	40:53.9	so the other side you want me the variable on one side					
40:53.9	40:54.4		yeah				
40:54.7	41:00.2	so to do that you have to what kind of sheet is that is that					
41:00.2	41:02.2	you have to add					
41:02.2	41:04.9	so see at once negative or one is a positive					
41:06.0	41:11.6	so let's say if you add one to each side you cannot see that					
41:11.6	41:14.3	but oh well you add one to each side					
41:16.2	41:19.5	then that's cancelling out this one					
41:20.1	41:25.2	pause filler right here that's right yeah					
41:25.4	41:26.8	oh it's cancelling out this one					
41:26.8	41:28.8	so this is like comes zero					
41:28.8	41:29.7	it's nothing					
41:30.3	41:33.8	it's just fourteen now					
41:35.1	41:39.2	pause filler and then this one becomes two okay					
41:39.2	41:42.3	and then you do it from there					
41:42.3	41:44.6	so I'm going to write out the problem for you now					
41:44.7	41:45.8	because it's all messy					
41:46.8	41:55.6	so fourteen equals thirty-six plus two					
41:55.6	41:57.0	okay so you solve that					
41:57.2	42:05.0		should two be multiplied by k				
42:05.0	42:07.6	right now it's being multiplied by k yes so					
42:07.6	42:12.1		I don't know how anything multiplied by how				
42:12.1	42:16.4		it would have to be a negative number				
42:16.4	42:20.6		because you'd have to kind of get fourteen out of thirty-six				
42:21.8	42:24.5	yeah do you want me to split down the middle for you					
42:24.5	42:26.1	I don't know if that helps you					
42:26.1	42:27.4	but it helps me					
42:28.7	42:30.0	sorry if it doesn't help you					
42:30.0	42:37.5	it's like I always just choose a random start					
42:37.5	42:42.2	so you can either start out thirty-six or start at two k					
42:42.3	42:47.1	but either way you're trying to cancel out all of the constants					
42:47.1	42:50.2	so we start at two k two					
42:50.2	42:52.8	it's being multiplied by k					
42:53.2	42:58.0	and so you would do the opposite pause filler operation					
42:58.6	43:00.7		so fourteen divided by two				
43:00.7	43:00.8	huh					
43:01.2	43:02.2		so fourteen divided by two				
43:02.5	43:08.4	yes fourteen divided by two					
43:08.4	43:09.0		seven				
43:09.4	43:12.0	seven okay					
43:12.5	43:12.9		seven				
43:14.5	43:15.9	I think I'm writing all this					
43:15.9	43:17.0	but you're still doing the work					
43:17.0	43:18.9	so I don't want them to think I was doing all this					
43:18.9	43:21.3	because you're telling me this what to write down					
43:21.3	43:24.2		no I'm just really bad at writing that's all				
43:24.2	43:26.1	yeah I think down yeah					
43:26.1	43:27.8		so then (inaudible) I think I hope				
43:27.8	43:34.0	yeah I just don't want to watch this and (inaudible) and be like oh that girl didn't teach her anything					
43:34.0	43:37.6	she just did all the work all right					
43:37.9	43:40.4	and so seven and what would the other side be					
43:45.6	43:46.4		pause filler minus seven maybe				
43:46.4	43:48.8	oh wait why did I degrade at seven					
43:48.8	43:51.6	oh wait because it is seven sorry					
43:52.3	43:56.1		I just don't get how anything plus thirty-six can equal fourteen				
43:56.6	43:56.8	huh					
43:57.1	43:57.6		unless it's negative				
43:57.6	43:59.6	yeah so the entire thing is like					
44:00.1	44:02.3	that's what I want to think about logically					
44:02.3	44:07.8	but sometimes like pause filler you can if you just follow like the rules					
44:07.8	44:10.6	and you understand the rules now					
44:10.6	44:12.0	but we all have different ways of thinking					
44:12.0	44:13.9	like some people are just like this is the rule					
44:13.9	44:14.6	and you follow this					
44:14.7	44:18.3	and we're like well logically that doesn't make sense like that's like					
44:18.3	44:21.6	I was like well logically like when I was writing negatives and stuff					
44:21.6	44:23.1	I was like logically it would be this					
44:23.1	44:25.7	and then they're like nope because this rules is this					
44:25.7	44:26.8	so it actually will be this					
44:27.8	44:30.9	yeah so there are stuff like this					
44:30.9	44:31.9	I just follow					
44:31.9	44:33.5	I have the certain set of rules					
44:33.5	44:34.2	and I follow them					
44:34.2	44:37.3	and that is what you do to one side you do to the other					
44:38.0	44:44.1	so we divided fourteen by two					
44:44.1	44:45.6	so I divide this by two					
44:46.2	44:48.3	pause filler I messed something up					
44:48.3	44:54.4		what would be two divided by two				
44:54.6	44:54.7	huh					
44:54.7	44:57.8		two divided by two would equal to zero so fourteen divided two				
44:57.8	45:01.2	yeah two divided two so which means we're just left with					
45:01.2	45:03.8	yeah we're just left with seven equals					
45:04.2	45:05.1		thirty-six				
45:05.1	45:08.7	thirty-six but we still have plus k					
45:08.7	45:10.2	because we just cancelled out the two					
45:10.2	45:11.5	we didn't cancel out the k					
45:13.2	45:18.3		so we have to get one of this thirty-six or seven				
45:19.0	45:21.8	no thirty-six because seven yeah					
45:22.3	45:28.0		so thirty-six minus thirty-six equals zero so seven minus thirty-six				
45:28.6	45:30.2	yup exactly					
45:32.4	45:35.0		well equal minus twenty-nine				
45:35.0	45:35.1		hmm				
45:35.8	45:36.6		negative twenty-nine				
45:36.9	45:38.3	yup so negative					
45:38.6	45:40.2		negative twenty-nine equals k				
45:41.0	45:42.1	yup we did it					
45:42.1	45:43.4	I don't think we really have to write it out					
45:43.5	45:45.5	pause filler let's do let's write that out					
45:46.1	45:54.2	negative twenty-nine equals pause filler k oh well					
45:54.2	45:58.2	okay are you on page four					
45:58.3	45:58.4		yup				
45:58.6	46:15.4	okay so this is like very similar so last time when we want the variables on one side last time when they were on two sides					
46:15.4	46:16.4	do you remember what we did					
46:17.4	46:17.6		yeah				
46:18.3	46:22.4	yeah so do you want me to write it					
46:22.4	46:25.3		yeah you're better at writing it I'm not good				
46:25.3	46:29.0	okay so what shall we do first					
46:30.1	46:31.3		we get rid of the p				
46:32.4	46:40.5	yeah by canceling it out adding b but what we do to one side we have to do it to the next					
46:40.8	46:42.9		so b plus b equals b (laughter)				
46:43.8	46:48.8	so let's just pause filler write it out again over here					
46:49.4	47:03.8	so seven seventeen sorry equals eighteen plus two b					
47:04.0	47:09.1		would b we're getting rid off because this one the seventeen minus b				
47:09.2	47:11.7		that one could stay but the thirteen plus b				
47:11.7	47:14.4		I think we should get rid of that one				
47:14.5	47:15.6	well you could it either way					
47:15.6	47:17.0	I think you could pause filler					
47:17.7	47:20.2	actually I don't think you could do it either way					
47:20.5	47:25.9	because we need to trans like I guess					
47:26.1	47:28.1		I got it I got it on my mind				
47:28.1	47:31.8	it's really hard to explain if you want it					
47:31.9	47:34.1	I don't think you could keep the minus b					
47:34.1	47:43.9	because if you want it to minus that one if you want to do to minus b minus b you just be locked with like negative b					
47:43.9	47:48.7	I don't really know I don't think it works so					
47:48.7	47:53.6		I guess I have to go two time two or we never mind				
47:53.8	47:57.1		we have to get rid of thirteen so				
47:57.5	47:59.3	yeah you can do whatever first					
47:59.3	48:01.6		thirteen minus thirteen equals zero				
48:02.1	48:05.2		seventeen minus thirteen equals four so				
48:05.3	48:06.6	so let's get I don't know why					
48:06.7	48:11.4	I like to scribble this out but just so					
48:11.4	48:12.6	what did you say four					
48:14.5	48:19.2		yeah four because three plus four equals thirteen				
48:19.8	48:23.5		I don't know				
48:23.5	48:26.5	minus thirteen equals four					
48:26.5	48:37.5	I'm just going to rewrite this because yeah okay					
48:37.5	48:39.5	so here's what we have left					
48:39.5	48:45.4		well so we must be going four divide it				
48:45.4	48:48.9		because two times b equals four				
48:48.9	48:50.5		so we go four divided by two				
48:50.5	48:52.2		it would be two				
48:52.8	48:54.1	yeah so					
48:54.5	48:55.6		so two equals b				
48:55.6	48:59.3	yup b equals two					
48:59.3	49:00.5	that's not a two					
49:00.5	49:01.7		that's an eight				
49:02.6	49:04.4	that's now it's kind of a two					
49:04.4	49:05.4	I don't know					
49:05.4	49:08.3	I draw away in twos you know what whatever					
49:08.3	49:11.6	you can see it like above it that					
49:11.6	49:12.4	it's four					
49:12.4	49:13.0		it's on recording (laughter)				
49:13.2	49:16.3	yeah we're saying it					
49:16.4	49:19.1		minus nine it (inaudible) so				
49:20.0	49:22.1	this thing is easier I think					
49:22.1	49:22.2		yeah				
49:23.2	49:24.2	yeah this is easier					
49:24.2	49:26.1		so one divided by nine				
49:26.2	49:30.0	I think it's only one step mm-hmm					
49:30.0	49:34.5	so divided by but you would divide it by negative nine right					
49:34.5	49:35.0		yeah but				
49:35.2	49:37.8	yeah negative nine pause filler					
49:38.0	49:39.3		well can you go negative nine that's all				
49:39.3	49:40.8		that is just add minus nine				
49:51.6	49:58.7		so nine times nine would equal eighty-one				
49:58.7	50:05.3		so nine divided by nine or eighty-one divided by nine would be nine				
50:06.3	50:06.5	okay					
50:07.9	50:09.3		or minus nine (laughter) in this case				
50:09.5	50:14.3	yeah right we would add the minus					
50:14.5	50:17.3	okay that was quick good job					
50:18.0	50:18.3		okay okay				
50:18.3	50:21.3	this one's longer					
50:21.7	50:22.5		man				
50:22.5	50:24.2	okay so now we do no					
50:24.6	50:28.0	all right the variable is still on one side					
50:29.8	50:29.9		yeah				
50:30.7	50:30.9	oh okay					
50:31.8	50:34.3		so we get rid of the ten				
50:34.9	50:36.7		so ten minus ten equals zero				
50:36.7	50:39.4		eighty-two minus ten equals seventy-two				
50:40.6	50:52.9	okay so we have seventy-two equals negative eight y					
50:54.4	50:57.7		so now we'd be getting rid of the negative eight				
50:58.1	50:58.5	pause filler yes					
50:59.2	51:03.5		so negative eight equal or negative eight plus eight equals zero				
51:03.5	51:06.9		so seventy-two plus eight equals eighty				
51:07.9	51:16.7	all right so y equals eighty					
51:18.3	51:21.4	okay you're much better at this than me					
51:22.8	51:24.0		I just do it all in my mind				
51:24.9	51:25.2	yeah					
51:25.2	51:32.8		for some reason I'm good at doing it less than explaining what happened				
51:33.6	51:34.8	yeah I just didn't know					
51:34.8	51:38.1	like when you were tutoring me I didn't know if I just do the work					
51:38.1	51:38.8	or you just do the work					
51:38.8	51:39.6	it was confusing (laughter) okay					
51:39.6	51:42.9		so we'd have to get rid of the sixty-five first here				
51:43.6	51:47.4	okay and that's being subtracted which means (inaudible)					
51:47.4	51:55.0		sixty-five minus sixty-five will equals zero				
51:55.0	52:06.1		than a hundred and seven minus sixty-five would equal pause filler				
52:06.1	52:07.9	wouldn't that be like thirty-five					
52:08.0	52:10.1		I think it's sixty-two				
52:10.4	52:11.1		let me check here				
52:11.1	52:20.2	well I'm recently doing like take the seven off real quick you do pause filler one hundred minus sixty-five					
52:20.2	52:20.9	it's easy to do					
52:20.9	52:28.4		sixty-two plus sixty-five that's not a five				
52:28.4	52:35.0		I'm writing on sixty-two plus sixty-five				
52:35.2	52:38.2		so no that won't be it nope (laughter)				
52:38.3	52:44.2		this could be a hundred and twenty nope				
52:44.2	52:47.0	so a hundred minus sixty-five					
52:47.0	53:02.9		one over seven six five two bye-bye (inaudible) forty-two so forty-two				
53:02.9	53:10.0	forty-two okay I'm trying to get it six to go away go away					
53:10.0	53:13.8	there we go okay so you said forty-two					
53:14.8	53:17.1	let's leave this with forty-two equals					
53:17.3	53:21.6		fourteen x minus fourteen x okay I think it's just fourteen x				
53:21.6	53:23.1	well yeah it's just fourteen x					
53:23.1	53:24.9	because we already get with the minus					
53:25.3	53:36.4		so fourteen x or fourteen minus fourteen so forty-two minus fourteen so I'll try to figure out				
53:36.8	53:36.9	yeah					
53:37.5	53:38.1		twenty-eight				
53:44.4	53:45.0		twenty-eight				
53:45.0	53:45.3		hmm				
53:45.1	53:45.3	okay					
53:45.3	53:48.8		I think (laughter) twenty-eight yeah twenty-eight				
53:48.8	53:49.0	okay					
53:49.1	53:50.1		why do I do this (inaudible)				
53:50.3	53:53.6	see you're much better at computation					
53:53.8	53:55.9	and I'm so slow at it					
53:55.9	53:59.3		I just use my hands and trace it for some reason				
53:59.4	54:00.2	yeah like the					
54:04.5	54:04.6	okay					
54:06.0	54:07.5		pretty good I made it to eight				
54:08.3	54:10.8		I made it to eight this time				
54:10.9	54:13.5	she did a lot better than me					
54:14.6	54:18.1		so apparently I'm good at it but not explaining it				
54:18.3	54:21.3	oh wait that's like					
54:31.9	54:35.0		it's so cool that I've met her				
54:35.0	54:36.4		I never talked to her				
54:36.4	54:37.3		but I know her				
54:37.3	54:38.0		that's so cool				
54:49.1	54:49.3	goodbye					
54:50.9	54:50.9		bye				
54:51.6	54:52.3	goodbye (laughter)					
